,id,activity,complete_timestamp,activity_history,next_activity,next_time,elapsed_time,total_time,remaining_time
0,1-109135791,Queued,2006-01-11 14:49:42+00:00,Queued,Accepted,2012-03-15 10:53:52+00:00,0,194818911,194818911
1,1-109135791,Accepted,2012-03-15 10:53:52+00:00,Queued+Accepted,Accepted,2012-03-15 10:56:17+00:00,194817850,194818911,1061
2,1-109135791,Accepted,2012-03-15 10:56:17+00:00,Queued+Accepted+Accepted,Accepted,2012-03-15 11:09:05+00:00,194817995,194818911,916
3,1-109135791,Accepted,2012-03-15 11:09:05+00:00,Queued+Accepted+Accepted+Accepted,Completed,2012-03-15 11:11:33+00:00,194818763,194818911,148
4,1-109135791,Completed,2012-03-15 11:11:33+00:00,Queued+Accepted+Accepted+Accepted+Completed,!,2012-03-15 11:11:33+00:00,194818911,194818911,0
5,1-147898401,Accepted,2006-11-07 09:00:36+00:00,Accepted,Accepted,2006-11-07 12:05:44+00:00,0,164161371,164161371
6,1-147898401,Accepted,2006-11-07 12:05:44+00:00,Accepted+Accepted,Accepted,2009-12-02 13:24:32+00:00,11108,164161371,164150263
7,1-147898401,Accepted,2009-12-02 13:24:32+00:00,Accepted+Accepted+Accepted,Accepted,2011-09-03 05:09:09+00:00,96870236,164161371,67291135
8,1-147898401,Accepted,2011-09-03 05:09:09+00:00,Accepted+Accepted+Accepted+Accepted,Accepted,2012-01-20 09:23:24+00:00,152136513,164161371,12024858
9,1-147898401,Accepted,2012-01-20 09:23:24+00:00,Accepted+Accepted+Accepted+Accepted+Accepted,Completed,2012-01-20 09:23:27+00:00,164161368,164161371,3
10,1-147898401,Completed,2012-01-20 09:23:27+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Completed,!,2012-01-20 09:23:27+00:00,164161371,164161371,0
11,1-165554831,Accepted,2007-03-20 08:06:25+00:00,Accepted,Accepted,2009-12-02 13:24:31+00:00,0,152495178,152495178
12,1-165554831,Accepted,2009-12-02 13:24:31+00:00,Accepted+Accepted,Accepted,2011-09-03 05:10:53+00:00,85382286,152495178,67112892
13,1-165554831,Accepted,2011-09-03 05:10:53+00:00,Accepted+Accepted+Accepted,Accepted,2012-01-18 07:52:41+00:00,140648668,152495178,11846510
14,1-165554831,Accepted,2012-01-18 07:52:41+00:00,Accepted+Accepted+Accepted+Accepted,Completed,2012-01-18 07:52:43+00:00,152495176,152495178,2
15,1-165554831,Completed,2012-01-18 07:52:43+00:00,Accepted+Accepted+Accepted+Accepted+Completed,!,2012-01-18 07:52:43+00:00,152495178,152495178,0
16,1-172473423,Accepted,2007-05-10 14:21:54+00:00,Accepted,Accepted,2009-12-02 13:24:33+00:00,0,148064356,148064356
17,1-172473423,Accepted,2009-12-02 13:24:33+00:00,Accepted+Accepted,Accepted,2011-09-03 05:10:59+00:00,80953359,148064356,67110997
18,1-172473423,Accepted,2011-09-03 05:10:59+00:00,Accepted+Accepted+Accepted,Accepted,2012-01-18 07:20:53+00:00,136219745,148064356,11844611
19,1-172473423,Accepted,2012-01-18 07:20:53+00:00,Accepted+Accepted+Accepted+Accepted,Completed,2012-01-18 07:21:10+00:00,148064339,148064356,17
20,1-172473423,Completed,2012-01-18 07:21:10+00:00,Accepted+Accepted+Accepted+Accepted+Completed,!,2012-01-18 07:21:10+00:00,148064356,148064356,0
21,1-182640781,Accepted,2007-07-25 12:21:05+00:00,Accepted,Accepted,2009-12-02 13:24:32+00:00,0,140220648,140220648
22,1-182640781,Accepted,2009-12-02 13:24:32+00:00,Accepted+Accepted,Queued,2010-08-25 09:13:01+00:00,74394207,140220648,65826441
23,1-182640781,Queued,2010-08-25 09:13:01+00:00,Accepted+Accepted+Queued,Accepted,2011-09-05 07:24:13+00:00,97361516,140220648,42859132
24,1-182640781,Accepted,2011-09-05 07:24:13+00:00,Accepted+Accepted+Queued+Accepted,Accepted,2011-11-14 15:10:25+00:00,129841388,140220648,10379260
25,1-182640781,Accepted,2011-11-14 15:10:25+00:00,Accepted+Accepted+Queued+Accepted+Accepted,Accepted,2012-01-03 10:30:35+00:00,135917360,140220648,4303288
26,1-182640781,Accepted,2012-01-03 10:30:35+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted,Completed,2012-01-03 10:31:53+00:00,140220570,140220648,78
27,1-182640781,Completed,2012-01-03 10:31:53+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Completed,!,2012-01-03 10:31:53+00:00,140220648,140220648,0
28,1-230541365,Accepted,2008-05-07 16:58:51+00:00,Accepted,Accepted,2008-10-06 14:44:37+00:00,0,116862884,116862884
29,1-230541365,Accepted,2008-10-06 14:44:37+00:00,Accepted+Accepted,Accepted,2009-12-02 13:24:34+00:00,13124746,116862884,103738138
30,1-230541365,Accepted,2009-12-02 13:24:34+00:00,Accepted+Accepted+Accepted,Accepted,2011-09-01 22:27:50+00:00,49580743,116862884,67282141
31,1-230541365,Accepted,2011-09-01 22:27:50+00:00,Accepted+Accepted+Accepted+Accepted,Accepted,2011-09-01 22:27:55+00:00,104736539,116862884,12126345
32,1-230541365,Accepted,2011-09-01 22:27:55+00:00,Accepted+Accepted+Accepted+Accepted+Accepted,Accepted,2012-01-20 06:53:32+00:00,104736544,116862884,12126340
33,1-230541365,Accepted,2012-01-20 06:53:32+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Accepted,Completed,2012-01-20 06:53:35+00:00,116862881,116862884,3
34,1-230541365,Completed,2012-01-20 06:53:35+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Completed,!,2012-01-20 06:53:35+00:00,116862884,116862884,0
35,1-236817141,Accepted,2008-06-04 10:02:18+00:00,Accepted,Accepted,2009-12-02 13:24:34+00:00,0,113195202,113195202
36,1-236817141,Accepted,2009-12-02 13:24:34+00:00,Accepted+Accepted,Queued,2010-08-25 09:06:45+00:00,47186536,113195202,66008666
37,1-236817141,Queued,2010-08-25 09:06:45+00:00,Accepted+Accepted+Queued,Accepted,2011-09-03 06:02:11+00:00,70153467,113195202,43041735
38,1-236817141,Accepted,2011-09-03 06:02:11+00:00,Accepted+Accepted+Queued+Accepted,Accepted,2011-11-14 15:09:27+00:00,102455993,113195202,10739209
39,1-236817141,Accepted,2011-11-14 15:09:27+00:00,Accepted+Accepted+Queued+Accepted+Accepted,Accepted,2012-01-05 13:08:18+00:00,108709629,113195202,4485573
40,1-236817141,Accepted,2012-01-05 13:08:18+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted,Completed,2012-01-05 13:09:00+00:00,113195160,113195202,42
41,1-236817141,Completed,2012-01-05 13:09:00+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Completed,!,2012-01-05 13:09:00+00:00,113195202,113195202,0
42,1-270399977,Accepted,2008-11-13 08:43:32+00:00,Accepted,Accepted,2012-01-30 09:56:24+00:00,0,105579780,105579780
43,1-270399977,Accepted,2012-01-30 09:56:24+00:00,Accepted+Accepted,Accepted,2012-01-30 10:12:05+00:00,101351572,105579780,4228208
44,1-270399977,Accepted,2012-01-30 10:12:05+00:00,Accepted+Accepted+Accepted,Queued,2012-02-16 13:52:16+00:00,101352513,105579780,4227267
45,1-270399977,Queued,2012-02-16 13:52:16+00:00,Accepted+Accepted+Accepted+Queued,Accepted,2012-02-16 14:09:17+00:00,102834524,105579780,2745256
