Dataset,Cross Validation,Accuracy,F1_Score,Precisions,Recalls,Running_Time,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
bpi_2013_closed_problems.xes.gz_Train_All,2,0.6495901639344263,0.5624567735832153,0.5360178518677214,0.6495901639344263,7.031389474868774,0.020917892456054688,951,513,513,3879
bpi_2013_closed_problems.xes.gz_Train_All,3,0.5973101265822784,0.5425930511083393,0.6309995780767089,0.5973101265822784,6.176152944564819,0.029957294464111328,755,509,509,3283
bpi_2013_closed_problems.xes.gz_Train_All,4,0.5831037649219467,0.4749676132520423,0.6658476516644196,0.5831037649219467,7.166448593139648,0.026927709579467773,635,454,454,2813
bpi_2013_closed_problems.xes.gz_Train_All,5,0.5771375464684015,0.4679786533767032,0.569058953458885,0.5771375464684015,7.2144858837127686,0.022026538848876953,621,455,455,2773
bpi_2013_closed_problems.xes.gz_Train_divide_2,2,0.5020491803278688,0.4083307588274245,0.4941826526894991,0.5020491803278688,5.450982570648193,0.013963937759399414,735,729,729,3663
bpi_2013_closed_problems.xes.gz_Train_divide_2,3,0.46439873417721517,0.348619048786316,0.5032672228227963,0.46439873417721517,5.336184501647949,0.019907712936401367,587,677,677,3115
bpi_2013_closed_problems.xes.gz_Train_divide_2,4,0.4719926538108356,0.3743043437551339,0.44639411187963124,0.4719926538108356,5.623945951461792,0.017731904983520508,514,575,575,2692
bpi_2013_closed_problems.xes.gz_Train_divide_2,5,0.41356877323420077,0.31417561324405846,0.4210090358102669,0.41356877323420077,5.459669589996338,0.01564645767211914,445,631,631,2597
bpi_2013_closed_problems.xes.gz_Train_divide_3,2,0.45901639344262296,0.3025402912138755,0.46616506069327995,0.45901639344262296,5.301452875137329,0.013960838317871094,672,792,792,3600
bpi_2013_closed_problems.xes.gz_Train_divide_3,3,0.49683544303797467,0.38578745628341254,0.6501876238871889,0.49683544303797467,5.454182863235474,0.016032934188842773,628,636,636,3156
bpi_2013_closed_problems.xes.gz_Train_divide_3,4,0.33884297520661155,0.18873258770737233,0.36372675997745835,0.33884297520661155,5.372044563293457,0.018681764602661133,369,720,720,2547
