CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration
9406,W-Afhandelen leads,10909,2012.02.25 10:51:10,3000,2012.02.25 11:00:32,9
9406,W-Completeren aanvraag,10913,2012.02.25 11:18:14,3000,2012.02.25 11:19:13,0
9406,W-Completeren aanvraag,10913,2012.02.25 12:48:45,3000,2012.02.25 14:04:20,75
9406,W-Completeren aanvraag,10913,2012.02.25 14:04:40,3000,2012.02.25 14:08:17,3
9407,W-Afhandelen leads,10931,2012.01.09 09:57:43,15000,2012.01.09 10:05:07,7
9407,W-Completeren aanvraag,11181,2012.01.09 14:39:26,15000,2012.01.09 14:49:14,9
9407,W-Completeren aanvraag,no resuource,2012.01.10 15:46:34,15000,2012.01.10 15:47:47,1
9407,W-Completeren aanvraag,10932,2012.01.11 14:10:05,15000,2012.01.11 14:10:27,0
9407,W-Completeren aanvraag,11169,2012.01.13 10:16:51,15000,2012.01.13 10:39:55,23
9407,W-Completeren aanvraag,10889,2012.01.13 17:01:18,15000,2012.01.13 17:02:31,1
9407,W-Completeren aanvraag,10861,2012.01.14 14:01:30,15000,2012.01.14 14:02:33,1
9407,W-Completeren aanvraag,11169,2012.01.17 11:12:51,15000,2012.01.17 11:42:09,29
9407,W-Completeren aanvraag,10910,2012.01.17 12:39:15,15000,2012.01.17 12:39:30,0
9407,W-Completeren aanvraag,10910,2012.01.17 12:39:15,15000,2012.02.07 09:15:10,30035
9408,W-Afhandelen leads,10910,2011.12.28 15:38:12,6000,2011.12.28 15:43:37,5
9409,W-Afhandelen leads,11003,2012.02.14 20:37:33,5000,2012.02.14 20:38:11,0
9410,W-Afhandelen leads,10861,2011.11.21 14:01:58,2000,2011.11.21 14:02:26,0
9411,W-Afhandelen leads,10910,2011.11.23 10:04:45,6500,2011.11.23 10:13:15,8
9412,W-Afhandelen leads,11169,2012.01.31 12:04:49,4000,2012.01.31 12:11:35,6
9413,W-Afhandelen leads,10932,2012.01.17 09:56:39,5000,2012.01.17 09:57:56,1
9414,W-Afhandelen leads,11121,2012.02.24 09:10:29,6000,2012.02.24 09:12:39,2
9415,W-Afhandelen leads,10228,2012.01.30 19:58:16,18862,2012.01.30 20:04:41,6
9416,W-Afhandelen leads,no resuource,2011.11.25 18:16:52,11500,2011.11.25 18:21:19,4
9417,W-Afhandelen leads,10910,2011.12.16 12:01:47,8000,2011.12.16 12:03:57,2
9418,W-Afhandelen leads,10629,2012.02.17 20:45:44,10000,2012.02.17 20:46:43,0
9419,W-Afhandelen leads,11179,2012.02.06 09:15:30,2500,2012.02.06 09:17:56,2
9420,W-Afhandelen leads,10935,2012.01.06 09:45:10,26000,2012.01.06 09:46:49,1
9421,W-Afhandelen leads,10932,2012.02.03 09:34:43,7500,2012.02.03 09:39:02,4
9422,W-Afhandelen leads,10913,2012.01.13 20:31:02,11000,2012.01.13 20:33:07,2
9423,W-Afhandelen leads,10982,2012.02.08 12:25:23,7100,2012.02.08 12:27:38,2
9424,W-Afhandelen leads,10912,2011.11.25 17:10:55,5000,2011.11.25 17:12:05,1
9425,W-Afhandelen leads,10982,2012.02.09 20:02:50,63000,2012.02.09 20:03:23,0
9426,W-Afhandelen leads,11169,2012.01.31 10:03:42,7365,2012.01.31 10:04:46,1
9427,W-Afhandelen leads,11119,2012.01.25 19:53:12,16000,2012.01.25 19:54:10,0
9428,W-Afhandelen leads,11119,2011.11.17 19:28:22,15000,2011.11.17 19:29:14,0
9429,W-Afhandelen leads,10909,2012.02.18 16:31:37,1500,2012.02.18 16:35:02,3
9430,W-Afhandelen leads,11169,2012.02.23 14:56:17,1000,2012.02.23 15:01:50,5
9431,W-Afhandelen leads,10982,2012.02.14 15:36:56,5000,2012.02.14 15:38:46,1
9432,W-Afhandelen leads,10932,2012.01.21 10:21:57,30000,2012.01.21 10:27:14,5
9433,W-Afhandelen leads,10861,2012.01.04 13:32:10,57600,2012.01.04 13:33:35,1
9434,W-Afhandelen leads,11009,2012.01.16 09:33:47,9500,2012.01.16 09:35:26,1
9435,W-Afhandelen leads,10889,2012.02.11 10:53:12,2500,2012.02.11 10:53:44,0
9436,W-Afhandelen leads,10932,2012.02.15 09:41:10,15000,2012.02.15 09:45:01,3
9437,W-Afhandelen leads,10863,2012.02.29 18:07:55,20000,2012.02.29 18:09:32,1
9438,W-Afhandelen leads,10910,2011.11.29 12:31:59,30000,2011.11.29 12:33:51,1
9439,W-Afhandelen leads,10910,2011.11.21 12:43:47,8000,2011.11.21 12:45:28,1
9440,W-Afhandelen leads,11119,2012.01.11 20:18:01,20000,2012.01.11 20:18:28,0
9441,W-Afhandelen leads,11019,2012.02.10 14:10:31,4000,2012.02.10 14:12:56,2
9442,W-Afhandelen leads,11169,2012.02.29 09:49:22,8000,2012.02.29 09:51:02,1
9443,W-Afhandelen leads,11119,2011.11.17 17:05:07,5000,2011.11.17 17:09:06,3
9444,W-Afhandelen leads,no resuource,2011.11.22 11:50:04,5000,2011.11.22 11:54:20,4
9445,W-Afhandelen leads,10932,2012.01.14 14:42:21,1500,2012.01.14 14:45:46,3
9446,W-Afhandelen leads,10861,2011.11.22 15:13:51,2000,2011.11.22 15:14:43,0
9447,W-Afhandelen leads,11122,2012.02.09 14:03:35,35000,2012.02.09 14:06:37,3
9448,W-Afhandelen leads,11002,2012.01.21 16:15:17,8500,2012.01.21 16:27:40,12
9449,W-Afhandelen leads,11009,2011.12.20 12:40:15,500,2011.12.20 12:44:01,3
9450,W-Afhandelen leads,10910,2012.01.12 14:53:05,6000,2012.01.12 14:54:57,1
9451,W-Afhandelen leads,10982,2011.12.20 19:10:15,8000,2011.12.20 19:12:28,2
9452,W-Afhandelen leads,10932,2011.11.17 16:44:34,15000,2011.11.17 16:45:25,0
9453,W-Afhandelen leads,11189,2012.01.04 12:54:21,11750,2012.01.04 12:55:08,0
9454,W-Afhandelen leads,no resuource,2011.11.22 11:55:54,10000,2011.11.22 11:56:26,0
9455,W-Afhandelen leads,11169,2012.01.12 09:07:08,10000,2012.01.12 09:08:32,1
9456,W-Afhandelen leads,10889,2012.02.28 20:41:37,44000,2012.02.28 20:41:59,0
9457,W-Afhandelen leads,10861,2012.01.14 16:29:33,3000,2012.01.14 16:31:04,1
9458,W-Afhandelen leads,11003,2012.02.16 13:14:41,10000,2012.02.16 13:15:13,0
9459,W-Afhandelen leads,11169,2011.11.17 12:28:45,5000,2011.11.17 12:30:04,1
9460,W-Afhandelen leads,10982,2012.02.06 16:10:01,5000,2012.02.06 16:14:12,4
9461,W-Afhandelen leads,11119,2011.11.17 17:28:49,14000,2011.11.17 17:31:49,3
9462,W-Afhandelen leads,no resuource,2011.12.01 12:51:15,5000,2011.12.01 12:55:17,4
9463,W-Afhandelen leads,10910,2011.12.01 09:30:41,2000,2011.12.01 09:39:04,8
9464,W-Afhandelen leads,11169,2012.02.14 09:11:56,25000,2012.02.14 09:13:35,1
9465,W-Afhandelen leads,11169,2011.11.22 11:25:36,7500,2011.11.22 11:31:06,5
9466,W-Afhandelen leads,10982,2012.01.10 16:42:01,10000,2012.01.10 16:43:26,1
9467,W-Afhandelen leads,10909,2012.02.25 10:15:08,4500,2012.02.25 10:16:06,0
9468,W-Afhandelen leads,10861,2011.11.21 14:01:51,1500,2011.11.21 14:04:31,2
9469,W-Afhandelen leads,10861,2012.01.05 10:00:28,5000,2012.01.05 10:01:52,1
9470,W-Afhandelen leads,10909,2012.02.25 12:40:40,10000,2012.02.25 12:41:58,1
9471,W-Afhandelen leads,10935,2012.02.13 09:02:42,2500,2012.02.13 09:03:30,0
9472,W-Afhandelen leads,10909,2012.01.19 10:53:12,10000,2012.01.19 10:54:50,1
9473,W-Afhandelen leads,11003,2011.12.05 17:17:20,5000,2011.12.05 17:20:05,2
9474,W-Afhandelen leads,10939,2011.12.27 09:26:01,15000,2011.12.27 09:27:33,1
9475,W-Afhandelen leads,10889,2012.01.10 09:01:43,5000,2012.01.10 09:13:51,12
9476,W-Afhandelen leads,10929,2012.01.16 09:34:51,50000,2012.01.16 09:36:29,1
9477,W-Afhandelen leads,10910,2012.01.02 14:57:43,45000,2012.01.02 14:58:16,0
9478,W-Afhandelen leads,11189,2011.12.29 09:11:28,15000,2011.12.29 09:17:22,5
9479,W-Afhandelen leads,10629,2012.02.10 17:01:06,20000,2012.02.10 17:05:23,4
9480,W-Afhandelen leads,11169,2012.02.14 09:22:57,5000,2012.02.14 09:32:34,9
9481,W-Afhandelen leads,11189,2011.11.24 14:28:06,1500,2011.11.24 14:30:22,2
9482,W-Afhandelen leads,10910,2012.01.13 12:40:45,10000,2012.01.13 12:41:13,0
9483,W-Afhandelen leads,11121,2012.02.24 09:23:20,17500,2012.02.24 09:25:09,1
9484,W-Afhandelen leads,11169,2011.11.17 11:49:33,12500,2011.11.17 11:50:15,0
9485,W-Afhandelen leads,10863,2012.01.10 20:24:35,2000,2012.01.10 20:26:17,1
9486,W-Afhandelen leads,11189,2011.11.24 10:02:44,5000,2011.11.24 10:04:29,1
9487,W-Afhandelen leads,10913,2011.12.09 20:15:13,17000,2011.12.09 20:19:45,4
9488,W-Afhandelen leads,10629,2012.02.11 14:36:18,10000,2012.02.11 14:38:18,2
9489,W-Afhandelen leads,11003,2012.01.24 15:58:28,14000,2012.01.24 15:59:53,1
9490,W-Afhandelen leads,11122,2012.01.13 20:32:40,12500,2012.01.13 20:35:19,2
9491,W-Afhandelen leads,11003,2011.12.30 08:55:26,7500,2011.12.30 09:01:19,5
9492,W-Afhandelen leads,no resuource,2011.11.19 13:05:18,2500,2011.11.19 13:05:40,0
9493,W-Afhandelen leads,10910,2012.01.02 09:12:35,6000,2012.01.02 09:29:48,17
9494,W-Afhandelen leads,10932,2012.01.17 09:59:10,5000,2012.01.17 10:00:41,1
9495,W-Afhandelen leads,10629,2012.02.17 20:46:47,30500,2012.02.17 20:47:34,0
9496,W-Afhandelen leads,no resuource,2011.12.05 10:11:47,1000,2011.12.05 10:17:01,5
9497,W-Afhandelen leads,10861,2012.01.05 11:53:07,3000,2012.01.05 11:55:26,2
9498,W-Afhandelen leads,10629,2012.02.09 16:27:11,20000,2012.02.09 16:31:23,4
9499,W-Afhandelen leads,11122,2012.02.16 20:27:06,5000,2012.02.16 20:29:29,2
9500,W-Afhandelen leads,10889,2012.02.28 20:41:37,44000,2012.02.28 20:41:59,0
9501,W-Afhandelen leads,10931,2012.01.09 10:06:53,10000,2012.01.09 10:17:53,11
9502,W-Afhandelen leads,10935,2012.01.06 15:41:28,5000,2012.01.06 15:42:01,0
9503,W-Afhandelen leads,10932,2012.01.21 10:21:57,30000,2012.01.21 10:27:14,5
9504,W-Afhandelen leads,11009,2012.02.27 12:20:05,5000,2012.02.27 12:21:43,1
9505,W-Afhandelen leads,11003,2012.02.16 13:26:26,4000,2012.02.16 13:27:44,1
9506,W-Afhandelen leads,10982,2011.12.12 20:23:29,10000,2011.12.12 20:25:38,2
9507,W-Afhandelen leads,10932,2011.11.17 16:50:15,8000,2011.11.17 16:51:39,1
9508,W-Afhandelen leads,10629,2012.02.10 16:54:05,3000,2012.02.10 16:56:55,2
9509,W-Afhandelen leads,no resuource,2011.11.19 11:23:11,1000,2011.11.19 11:23:42,0
9510,W-Afhandelen leads,10889,2012.01.20 09:02:21,25000,2012.01.20 09:04:12,1
9511,W-Afhandelen leads,11122,2012.01.12 19:20:03,3500,2012.01.12 19:20:52,0
9512,W-Afhandelen leads,10910,2012.01.12 16:02:24,5000,2012.01.12 16:04:29,2
9513,W-Afhandelen leads,10910,2011.12.01 09:39:20,4000,2011.12.01 09:43:31,4
9514,W-Afhandelen leads,11203,2012.02.20 12:54:08,28500,2012.02.20 12:56:53,2
9515,W-Afhandelen leads,10910,2011.11.23 09:37:05,5000,2011.11.23 09:37:23,0
9516,W-Afhandelen leads,11189,2011.11.24 09:21:20,1000,2011.11.24 09:22:53,1
9517,W-Afhandelen leads,10913,2011.11.17 17:30:18,3000,2011.11.17 17:31:55,1
9518,W-Afhandelen leads,10909,2012.01.19 13:46:32,22802,2012.01.19 13:48:46,2
