CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration
2,W-Afhandelen leads,11119,2011.11.16 17:39:56,5000,2011.11.16 17:41:10,1
2,W-Completeren aanvraag,10861,2011.11.16 19:44:30,5000,2011.11.16 19:46:07,1
2,W-Completeren aanvraag,11049,2011.11.17 08:29:49,5000,2011.11.17 08:32:41,2
2,W-Completeren aanvraag,11049,2011.11.17 08:32:53,5000,2011.11.17 08:35:44,2
3,W-Afhandelen leads,11119,2011.11.16 17:45:02,5000,2011.11.16 17:46:10,1
3,W-Completeren aanvraag,10861,2011.11.16 19:46:14,5000,2011.11.16 19:47:48,1
3,W-Completeren aanvraag,11180,2011.11.17 17:29:41,5000,2011.11.17 17:30:44,1
3,W-Completeren aanvraag,11201,2011.11.18 13:17:10,5000,2011.11.18 13:18:07,0
3,W-Completeren aanvraag,11201,2011.11.18 19:51:38,5000,2011.11.18 19:53:40,2
3,W-Completeren aanvraag,10931,2011.11.19 12:11:22,5000,2011.11.19 12:14:22,3
3,W-Completeren aanvraag,10861,2011.11.19 15:08:06,5000,2011.11.19 15:08:41,0
3,W-Completeren aanvraag,11119,2011.11.21 19:30:53,5000,2011.11.21 19:34:10,3
3,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.16 09:39:06,12
3,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.17 09:15:22,1428
4,W-Afhandelen leads,11119,2011.11.16 17:45:02,5000,2011.11.16 17:46:10,1
4,W-Completeren aanvraag,10861,2011.11.16 19:46:14,5000,2011.11.16 19:47:48,1
4,W-Completeren aanvraag,11180,2011.11.17 17:29:41,5000,2011.11.17 17:30:44,1
4,W-Completeren aanvraag,11201,2011.11.18 13:17:10,5000,2011.11.18 13:18:07,0
4,W-Completeren aanvraag,11201,2011.11.18 19:51:38,5000,2011.11.18 19:53:40,2
4,W-Completeren aanvraag,10931,2011.11.19 12:11:22,5000,2011.11.19 12:14:22,3
4,W-Completeren aanvraag,10861,2011.11.19 15:08:06,5000,2011.11.19 15:08:41,0
4,W-Completeren aanvraag,11119,2011.11.21 19:30:53,5000,2011.11.21 19:34:10,3
4,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.16 09:39:06,12
4,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.17 09:15:22,1428
5,W-Afhandelen leads,10929,2011.11.16 18:50:59,3000,2011.11.16 18:52:27,1
8,W-Afhandelen leads,10929,2011.11.16 18:53:28,5000,2011.11.16 18:56:24,2
13,W-Completeren aanvraag,no resuource,2011.11.17 10:54:21,20000,2011.11.17 10:57:16,2
13,W-Completeren aanvraag,11180,2011.11.17 18:02:47,20000,2011.11.17 18:17:07,14
13,W-Nabellen offertes,11180,2011.11.17 18:17:16,20000,2011.11.17 18:18:25,1
13,W-Nabellen offertes,no resuource,2011.11.21 10:52:20,20000,2011.11.21 10:58:36,6
13,W-Nabellen offertes,no resuource,2011.11.21 11:26:06,20000,2011.11.21 11:26:20,0
13,W-Nabellen offertes,11049,2011.11.29 11:15:02,20000,2011.11.29 11:16:10,1
13,W-Valideren aanvraag,10138,2011.12.01 16:16:19,20000,2011.12.01 16:16:27,0
13,W-Valideren aanvraag,10138,2011.12.02 11:09:12,20000,2011.12.02 11:30:05,20
13,W-Nabellen incomplete dossiers,10910,2011.12.02 12:10:38,20000,2011.12.02 12:18:15,7
13,W-Nabellen incomplete dossiers,10899,2011.12.02 17:08:20,20000,2011.12.02 17:08:48,0
13,W-Valideren aanvraag,10138,2011.12.05 09:21:01,20000,2011.12.05 09:25:46,4
17,W-Completeren aanvraag,no resuource,2011.11.17 12:53:26,5000,2011.11.17 12:55:18,1
17,W-Completeren aanvraag,11180,2011.11.17 18:18:40,5000,2011.11.17 18:19:32,0
17,W-Completeren aanvraag,10913,2011.11.17 18:58:50,5000,2011.11.17 19:04:42,5
17,W-Nabellen offertes,11000,2011.11.24 20:20:46,5000,2011.11.24 20:27:20,6
17,W-Nabellen offertes,11203,2011.11.26 16:40:16,5000,2011.11.26 16:43:19,3
17,W-Nabellen offertes,10881,2011.11.28 18:50:46,5000,2011.11.28 18:52:06,1
17,W-Nabellen offertes,11121,2011.11.29 12:28:21,5000,2011.11.29 12:30:41,2
17,W-Nabellen offertes,no resuource,2011.11.29 20:12:39,5000,2011.11.29 20:13:06,0
17,W-Nabellen offertes,11180,2011.11.30 19:25:52,5000,2011.11.30 19:26:35,0
17,W-Nabellen offertes,no resuource,2011.12.02 14:40:54,5000,2011.12.02 14:41:17,0
17,W-Nabellen offertes,no resuource,2011.12.06 14:21:55,5000,2011.12.06 14:25:36,3
17,W-Nabellen offertes,10881,2011.12.07 20:22:16,5000,2011.12.07 20:23:20,1
17,W-Nabellen offertes,10982,2011.12.17 12:54:40,5000,2011.12.17 12:55:55,1
17,W-Nabellen offertes,10982,2011.12.17 12:54:40,5000,2011.12.18 09:15:37,1220
20,W-Afhandelen leads,11169,2011.11.17 11:44:59,15000,2011.11.17 11:47:18,2
23,W-Completeren aanvraag,no resuource,2011.11.17 15:42:14,10500,2011.11.17 16:05:39,23
23,W-Nabellen offertes,no resuource,2011.11.17 16:05:55,10500,2011.11.17 16:12:19,6
23,W-Nabellen offertes,11000,2011.11.24 19:06:26,10500,2011.11.24 19:10:02,3
23,W-Nabellen offertes,10909,2011.11.26 16:51:14,10500,2011.11.26 16:53:18,2
23,W-Nabellen offertes,11259,2011.12.05 10:00:02,10500,2011.12.05 10:00:16,0
23,W-Valideren aanvraag,10138,2011.12.07 09:52:07,10500,2011.12.07 10:17:03,24
23,W-Valideren aanvraag,10138,2011.12.07 10:40:40,10500,2011.12.07 10:45:30,4
23,W-Nabellen incomplete dossiers,11189,2011.12.07 11:31:41,10500,2011.12.07 11:32:01,0
23,W-Nabellen incomplete dossiers,11189,2011.12.07 11:32:51,10500,2011.12.07 11:32:59,0
23,W-Nabellen incomplete dossiers,11189,2011.12.07 11:33:50,10500,2011.12.07 11:44:40,10
23,W-Nabellen incomplete dossiers,10138,2011.12.07 14:11:22,10500,2011.12.07 14:11:37,0
23,W-Nabellen incomplete dossiers,11049,2011.12.08 08:35:38,10500,2011.12.08 08:37:50,2
23,W-Valideren aanvraag,10138,2011.12.08 09:28:32,10500,2011.12.08 09:34:30,5
23,W-Valideren aanvraag,10138,2011.12.08 10:06:45,10500,2011.12.08 10:16:17,9
24,W-Afhandelen leads,11169,2011.11.17 12:30:55,10000,2011.11.17 12:46:42,15
24,W-Completeren aanvraag,11119,2011.11.17 17:35:02,10000,2011.11.17 17:56:40,21
25,W-Completeren aanvraag,11169,2011.11.17 12:12:02,7300,2011.11.17 12:15:59,3
25,W-Nabellen offertes,11000,2011.11.24 18:25:36,7300,2011.11.24 18:27:48,2
25,W-Nabellen offertes,10913,2011.11.30 12:58:03,7300,2011.11.30 13:01:49,3
25,W-Nabellen offertes,11180,2011.12.01 18:14:05,7300,2011.12.01 18:15:17,1
25,W-Nabellen offertes,no resuource,2011.12.03 16:20:41,7300,2011.12.03 16:22:11,1
25,W-Nabellen offertes,10932,2011.12.05 11:55:56,7300,2011.12.05 11:57:37,1
25,W-Nabellen offertes,11181,2011.12.06 20:44:20,7300,2011.12.06 20:45:01,0
25,W-Nabellen offertes,10861,2011.12.08 16:27:26,7300,2011.12.08 16:29:31,2
25,W-Nabellen offertes,10913,2011.12.10 13:07:15,7300,2011.12.10 13:19:39,12
25,W-Nabellen offertes,10982,2011.12.17 14:56:37,7300,2011.12.17 14:59:55,3
