CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration
1,W-Afhandelen leads,11119,2011.11.16 17:39:56,5000,2011.11.16 17:41:10,1
1,W-Completeren aanvraag,10861,2011.11.16 19:44:30,5000,2011.11.16 19:46:07,1
1,W-Completeren aanvraag,11049,2011.11.17 08:29:49,5000,2011.11.17 08:32:41,2
1,W-Completeren aanvraag,11049,2011.11.17 08:32:53,5000,2011.11.17 08:35:44,2
2,W-Completeren aanvraag,11119,2011.11.16 19:14:18,15000,2011.11.16 19:31:42,17
2,W-Nabellen offertes,11119,2011.11.16 19:31:56,15000,2011.11.16 19:33:09,1
2,W-Nabellen offertes,10861,2011.11.22 16:20:15,15000,2011.11.22 16:22:47,2
2,W-Nabellen offertes,11180,2011.11.24 19:07:51,15000,2011.11.24 19:09:46,1
2,W-Nabellen offertes,11180,2011.11.24 20:04:40,15000,2011.11.24 20:05:22,0
2,W-Nabellen offertes,11180,2011.11.24 20:30:28,15000,2011.11.24 20:32:13,1
2,W-Nabellen offertes,no resuource,2011.11.28 15:14:39,15000,2011.11.28 15:30:53,16
2,W-Nabellen offertes,10861,2011.11.28 16:00:06,15000,2011.11.28 16:01:10,1
2,W-Nabellen offertes,no resuource,2011.11.29 18:47:29,15000,2011.11.29 18:48:15,0
2,W-Nabellen offertes,no resuource,2011.11.29 20:28:56,15000,2011.11.29 20:31:02,2
2,W-Nabellen offertes,11121,2011.12.13 16:29:32,15000,2011.12.13 16:30:03,0
2,W-Nabellen offertes,11121,2011.12.13 16:29:32,15000,2011.12.17 09:15:43,5326
3,W-Afhandelen leads,11119,2011.11.16 17:45:02,5000,2011.11.16 17:46:10,1
3,W-Completeren aanvraag,10861,2011.11.16 19:46:14,5000,2011.11.16 19:47:48,1
3,W-Completeren aanvraag,11180,2011.11.17 17:29:41,5000,2011.11.17 17:30:44,1
3,W-Completeren aanvraag,11201,2011.11.18 13:17:10,5000,2011.11.18 13:18:07,0
3,W-Completeren aanvraag,11201,2011.11.18 19:51:38,5000,2011.11.18 19:53:40,2
3,W-Completeren aanvraag,10931,2011.11.19 12:11:22,5000,2011.11.19 12:14:22,3
3,W-Completeren aanvraag,10861,2011.11.19 15:08:06,5000,2011.11.19 15:08:41,0
3,W-Completeren aanvraag,11119,2011.11.21 19:30:53,5000,2011.11.21 19:34:10,3
3,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.16 09:39:06,12
3,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.17 09:15:22,1428
4,W-Completeren aanvraag,11119,2011.11.16 18:48:09,35000,2011.11.16 18:49:42,1
4,W-Completeren aanvraag,11119,2011.11.16 18:49:47,35000,2011.11.16 18:54:45,4
4,W-Nabellen offertes,11119,2011.11.16 18:57:21,35000,2011.11.16 18:59:43,2
4,W-Nabellen offertes,10899,2011.11.22 10:58:38,35000,2011.11.22 10:58:54,0
4,W-Valideren aanvraag,10809,2011.11.24 11:07:48,35000,2011.11.24 11:19:05,11
4,W-Valideren aanvraag,10809,2011.11.24 11:19:21,35000,2011.11.24 11:55:37,36
4,W-Valideren aanvraag,10809,2011.11.24 12:03:34,35000,2011.11.24 12:08:28,4
5,W-Completeren aanvraag,11122,2011.11.16 19:23:16,5000,2011.11.16 19:26:27,3
5,W-Completeren aanvraag,11122,2011.11.16 19:45:04,5000,2011.11.16 20:05:36,20
5,W-Nabellen offertes,11122,2011.11.16 20:08:47,5000,2011.11.16 20:15:01,6
5,W-Nabellen offertes,11122,2011.11.16 20:44:27,5000,2011.11.16 20:48:09,3
5,W-Nabellen offertes,11049,2011.11.17 09:45:08,5000,2011.11.17 09:49:52,4
5,W-Nabellen offertes,10609,2011.11.17 09:58:56,5000,2011.11.17 09:59:17,0
5,W-Valideren aanvraag,10609,2011.11.17 10:00:55,5000,2011.11.17 10:35:15,34
6,W-Beoordelen fraude,10188,2011.11.21 14:37:20,4000,2011.11.21 14:37:42,0
6,W-Beoordelen fraude,10188,2011.11.21 15:51:54,4000,2011.11.21 15:52:02,0
7,W-Completeren aanvraag,11119,2011.11.16 20:45:10,5000,2011.11.16 20:47:29,2
7,W-Completeren aanvraag,no resuource,2011.11.17 12:17:29,5000,2011.11.17 12:18:08,0
7,W-Completeren aanvraag,11169,2011.11.17 12:18:49,5000,2011.11.17 12:26:15,7
7,W-Nabellen offertes,10899,2011.11.23 11:11:48,5000,2011.11.23 11:12:21,0
7,W-Valideren aanvraag,10972,2011.11.28 10:24:54,5000,2011.11.28 10:54:20,29
7,W-Nabellen incomplete dossiers,10931,2011.11.28 11:54:29,5000,2011.11.28 12:20:22,25
7,W-Nabellen incomplete dossiers,10932,2011.11.28 14:59:21,5000,2011.11.28 14:59:41,0
7,W-Nabellen incomplete dossiers,10881,2011.11.28 18:30:06,5000,2011.11.28 18:34:21,4
7,W-Nabellen incomplete dossiers,no resuource,2011.11.28 19:19:29,5000,2011.11.28 19:26:32,7
7,W-Nabellen incomplete dossiers,10972,2011.11.29 08:59:58,5000,2011.11.29 09:09:35,9
8,W-Afhandelen leads,11119,2011.11.16 20:47:40,30000,2011.11.16 20:49:16,1
8,W-Completeren aanvraag,no resuource,2011.11.17 09:29:54,30000,2011.11.17 09:33:22,3
8,W-Completeren aanvraag,11180,2011.11.17 17:35:16,30000,2011.11.17 17:36:25,1
8,W-Completeren aanvraag,11201,2011.11.18 15:51:24,30000,2011.11.18 15:54:28,3
8,W-Completeren aanvraag,11201,2011.11.18 20:19:30,30000,2011.11.18 20:23:39,4
9,W-Afhandelen leads,11119,2011.11.16 20:49:19,14042,2011.11.16 20:53:15,3
9,W-Afhandelen leads,11119,2011.11.16 20:54:01,14042,2011.11.16 20:54:57,0
9,W-Completeren aanvraag,no resuource,2011.11.17 09:34:44,14042,2011.11.17 09:41:50,7
9,W-Completeren aanvraag,11180,2011.11.17 17:36:31,14042,2011.11.17 17:42:01,5
9,W-Completeren aanvraag,10913,2011.11.17 19:19:11,14042,2011.11.17 19:32:07,12
9,W-Completeren aanvraag,10913,2011.11.19 16:48:47,14042,2011.11.19 17:05:18,16
9,W-Completeren aanvraag,no resuource,2011.11.21 17:59:26,14042,2011.11.21 18:25:59,26
9,W-Completeren aanvraag,no resuource,2011.11.21 18:26:03,14042,2011.11.21 18:26:32,0
9,W-Completeren aanvraag,10861,2011.11.22 13:13:58,14042,2011.11.22 13:14:54,0
9,W-Completeren aanvraag,10939,2011.11.25 09:32:29,14042,2011.11.25 09:35:13,2
9,W-Completeren aanvraag,no resuource,2011.11.25 15:50:31,14042,2011.11.25 15:51:00,0
9,W-Completeren aanvraag,11201,2011.11.25 18:19:24,14042,2011.11.25 18:20:44,1
9,W-Completeren aanvraag,10913,2011.11.26 16:23:04,14042,2011.11.26 16:23:47,0
10,W-Completeren aanvraag,11122,2011.11.16 20:48:47,5000,2011.11.16 20:56:35,7
10,W-Nabellen offertes,11122,2011.11.16 20:56:44,5000,2011.11.16 20:56:46,0
10,W-Nabellen offertes,11122,2011.11.16 20:56:53,5000,2011.11.16 20:58:40,1
10,W-Nabellen offertes,11122,2011.11.16 20:58:51,5000,2011.11.16 21:01:47,2
10,W-Nabellen offertes,11189,2011.11.22 16:04:54,5000,2011.11.22 16:09:30,4
