CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration
2,W-Afhandelen leads,11119,2011.11.16 17:39:56,5000,2011.11.16 17:41:10,1
2,W-Completeren aanvraag,10861,2011.11.16 19:44:30,5000,2011.11.16 19:46:07,1
2,W-Completeren aanvraag,11049,2011.11.17 08:29:49,5000,2011.11.17 08:32:41,2
2,W-Completeren aanvraag,11049,2011.11.17 08:32:53,5000,2011.11.17 08:35:44,2
4,W-Completeren aanvraag,11119,2011.11.16 19:14:18,15000,2011.11.16 19:31:42,17
4,W-Nabellen offertes,11119,2011.11.16 19:31:56,15000,2011.11.16 19:33:09,1
4,W-Nabellen offertes,10861,2011.11.22 16:20:15,15000,2011.11.22 16:22:47,2
4,W-Nabellen offertes,11180,2011.11.24 19:07:51,15000,2011.11.24 19:09:46,1
4,W-Nabellen offertes,11180,2011.11.24 20:04:40,15000,2011.11.24 20:05:22,0
4,W-Nabellen offertes,11180,2011.11.24 20:30:28,15000,2011.11.24 20:32:13,1
4,W-Nabellen offertes,no resuource,2011.11.28 15:14:39,15000,2011.11.28 15:30:53,16
4,W-Nabellen offertes,10861,2011.11.28 16:00:06,15000,2011.11.28 16:01:10,1
4,W-Nabellen offertes,no resuource,2011.11.29 18:47:29,15000,2011.11.29 18:48:15,0
4,W-Nabellen offertes,no resuource,2011.11.29 20:28:56,15000,2011.11.29 20:31:02,2
4,W-Nabellen offertes,11121,2011.12.13 16:29:32,15000,2011.12.13 16:30:03,0
4,W-Nabellen offertes,11121,2011.12.13 16:29:32,15000,2011.12.17 09:15:43,5326
6,W-Afhandelen leads,11119,2011.11.16 17:45:02,5000,2011.11.16 17:46:10,1
6,W-Completeren aanvraag,10861,2011.11.16 19:46:14,5000,2011.11.16 19:47:48,1
6,W-Completeren aanvraag,11180,2011.11.17 17:29:41,5000,2011.11.17 17:30:44,1
6,W-Completeren aanvraag,11201,2011.11.18 13:17:10,5000,2011.11.18 13:18:07,0
6,W-Completeren aanvraag,11201,2011.11.18 19:51:38,5000,2011.11.18 19:53:40,2
6,W-Completeren aanvraag,10931,2011.11.19 12:11:22,5000,2011.11.19 12:14:22,3
6,W-Completeren aanvraag,10861,2011.11.19 15:08:06,5000,2011.11.19 15:08:41,0
6,W-Completeren aanvraag,11119,2011.11.21 19:30:53,5000,2011.11.21 19:34:10,3
6,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.16 09:39:06,12
6,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.17 09:15:22,1428
9,W-Afhandelen leads,10929,2011.11.16 18:50:59,3000,2011.11.16 18:52:27,1
12,W-Afhandelen leads,10929,2011.11.16 18:52:30,30000,2011.11.16 18:52:56,0
15,W-Afhandelen leads,10929,2011.11.16 18:53:28,5000,2011.11.16 18:56:24,2
16,W-Completeren aanvraag,11119,2011.11.16 18:48:09,35000,2011.11.16 18:49:42,1
16,W-Completeren aanvraag,11119,2011.11.16 18:49:47,35000,2011.11.16 18:54:45,4
16,W-Nabellen offertes,11119,2011.11.16 18:57:21,35000,2011.11.16 18:59:43,2
16,W-Nabellen offertes,10899,2011.11.22 10:58:38,35000,2011.11.22 10:58:54,0
16,W-Valideren aanvraag,10809,2011.11.24 11:07:48,35000,2011.11.24 11:19:05,11
16,W-Valideren aanvraag,10809,2011.11.24 11:19:21,35000,2011.11.24 11:55:37,36
16,W-Valideren aanvraag,10809,2011.11.24 12:03:34,35000,2011.11.24 12:08:28,4
20,W-Completeren aanvraag,11122,2011.11.16 19:23:16,5000,2011.11.16 19:26:27,3
20,W-Completeren aanvraag,11122,2011.11.16 19:45:04,5000,2011.11.16 20:05:36,20
20,W-Nabellen offertes,11122,2011.11.16 20:08:47,5000,2011.11.16 20:15:01,6
20,W-Nabellen offertes,11122,2011.11.16 20:44:27,5000,2011.11.16 20:48:09,3
20,W-Nabellen offertes,11049,2011.11.17 09:45:08,5000,2011.11.17 09:49:52,4
20,W-Nabellen offertes,10609,2011.11.17 09:58:56,5000,2011.11.17 09:59:17,0
20,W-Valideren aanvraag,10609,2011.11.17 10:00:55,5000,2011.11.17 10:35:15,34
22,W-Completeren aanvraag,11122,2011.11.16 19:32:34,5000,2011.11.16 19:39:57,7
22,W-Nabellen offertes,10861,2011.11.22 16:18:01,5000,2011.11.22 16:20:02,2
22,W-Nabellen offertes,10909,2011.11.22 16:22:22,5000,2011.11.22 16:25:49,3
22,W-Nabellen offertes,11259,2011.11.24 11:53:28,5000,2011.11.24 11:53:42,0
22,W-Valideren aanvraag,10138,2011.11.28 15:15:42,5000,2011.11.28 15:25:34,9
22,W-Nabellen incomplete dossiers,10932,2011.11.28 15:43:50,5000,2011.11.28 15:45:57,2
22,W-Nabellen incomplete dossiers,10910,2011.11.28 15:50:40,5000,2011.11.28 15:50:52,0
22,W-Valideren aanvraag,10138,2011.11.29 09:20:19,5000,2011.11.29 09:27:42,7
22,W-Nabellen incomplete dossiers,11121,2011.11.29 10:00:00,5000,2011.11.29 10:02:11,2
22,W-Nabellen incomplete dossiers,11121,2011.11.29 10:53:20,5000,2011.11.29 10:53:22,0
22,W-Nabellen incomplete dossiers,11121,2011.11.29 10:53:36,5000,2011.11.29 10:56:58,3
22,W-Nabellen incomplete dossiers,11049,2011.12.01 13:11:30,5000,2011.12.01 13:12:05,0
22,W-Nabellen incomplete dossiers,11121,2011.12.06 12:46:57,5000,2011.12.06 12:47:17,0
22,W-Nabellen incomplete dossiers,11189,2011.12.07 14:45:39,5000,2011.12.07 14:49:14,3
22,W-Nabellen incomplete dossiers,10931,2011.12.07 15:07:46,5000,2011.12.07 15:08:58,1
23,W-Afhandelen leads,11122,2011.11.16 19:41:25,35000,2011.11.16 19:42:03,0
24,W-Afhandelen leads,11122,2011.11.16 19:42:07,60000,2011.11.16 19:44:25,2
25,W-Beoordelen fraude,10188,2011.11.21 14:37:20,4000,2011.11.21 14:37:42,0
25,W-Beoordelen fraude,10188,2011.11.21 15:51:54,4000,2011.11.21 15:52:02,0
27,W-Afhandelen leads,10861,2011.11.16 20:10:28,17000,2011.11.16 20:11:05,0
28,W-Afhandelen leads,11119,2011.11.16 20:11:04,12500,2011.11.16 20:14:22,3
29,W-Completeren aanvraag,11119,2011.11.16 20:45:10,5000,2011.11.16 20:47:29,2
29,W-Completeren aanvraag,no resuource,2011.11.17 12:17:29,5000,2011.11.17 12:18:08,0
29,W-Completeren aanvraag,11169,2011.11.17 12:18:49,5000,2011.11.17 12:26:15,7
29,W-Nabellen offertes,10899,2011.11.23 11:11:48,5000,2011.11.23 11:12:21,0
29,W-Valideren aanvraag,10972,2011.11.28 10:24:54,5000,2011.11.28 10:54:20,29
29,W-Nabellen incomplete dossiers,10931,2011.11.28 11:54:29,5000,2011.11.28 12:20:22,25
29,W-Nabellen incomplete dossiers,10932,2011.11.28 14:59:21,5000,2011.11.28 14:59:41,0
29,W-Nabellen incomplete dossiers,10881,2011.11.28 18:30:06,5000,2011.11.28 18:34:21,4
29,W-Nabellen incomplete dossiers,no resuource,2011.11.28 19:19:29,5000,2011.11.28 19:26:32,7
29,W-Nabellen incomplete dossiers,10972,2011.11.29 08:59:58,5000,2011.11.29 09:09:35,9
31,W-Afhandelen leads,11119,2011.11.16 20:47:40,30000,2011.11.16 20:49:16,1
31,W-Completeren aanvraag,no resuource,2011.11.17 09:29:54,30000,2011.11.17 09:33:22,3
31,W-Completeren aanvraag,11180,2011.11.17 17:35:16,30000,2011.11.17 17:36:25,1
