CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration
1,W-Afhandelen leads,11119,2011.11.16 17:45:02,5000,2011.11.16 17:46:10,1
1,W-Completeren aanvraag,10861,2011.11.16 19:46:14,5000,2011.11.16 19:47:48,1
1,W-Completeren aanvraag,11180,2011.11.17 17:29:41,5000,2011.11.17 17:30:44,1
1,W-Completeren aanvraag,11201,2011.11.18 13:17:10,5000,2011.11.18 13:18:07,0
1,W-Completeren aanvraag,11201,2011.11.18 19:51:38,5000,2011.11.18 19:53:40,2
1,W-Completeren aanvraag,10931,2011.11.19 12:11:22,5000,2011.11.19 12:14:22,3
1,W-Completeren aanvraag,10861,2011.11.19 15:08:06,5000,2011.11.19 15:08:41,0
1,W-Completeren aanvraag,11119,2011.11.21 19:30:53,5000,2011.11.21 19:34:10,3
1,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.16 09:39:06,12
1,W-Completeren aanvraag,10910,2011.12.16 09:26:41,5000,2011.12.17 09:15:22,1428
11,W-Completeren aanvraag,11122,2011.11.16 19:23:16,5000,2011.11.16 19:26:27,3
11,W-Completeren aanvraag,11122,2011.11.16 19:45:04,5000,2011.11.16 20:05:36,20
11,W-Nabellen offertes,11122,2011.11.16 20:08:47,5000,2011.11.16 20:15:01,6
11,W-Nabellen offertes,11122,2011.11.16 20:44:27,5000,2011.11.16 20:48:09,3
11,W-Nabellen offertes,11049,2011.11.17 09:45:08,5000,2011.11.17 09:49:52,4
11,W-Nabellen offertes,10609,2011.11.17 09:58:56,5000,2011.11.17 09:59:17,0
11,W-Valideren aanvraag,10609,2011.11.17 10:00:55,5000,2011.11.17 10:35:15,34
13,W-Completeren aanvraag,11122,2011.11.16 19:32:34,5000,2011.11.16 19:39:57,7
13,W-Nabellen offertes,10861,2011.11.22 16:18:01,5000,2011.11.22 16:20:02,2
13,W-Nabellen offertes,10909,2011.11.22 16:22:22,5000,2011.11.22 16:25:49,3
13,W-Nabellen offertes,11259,2011.11.24 11:53:28,5000,2011.11.24 11:53:42,0
13,W-Valideren aanvraag,10138,2011.11.28 15:15:42,5000,2011.11.28 15:25:34,9
13,W-Nabellen incomplete dossiers,10932,2011.11.28 15:43:50,5000,2011.11.28 15:45:57,2
13,W-Nabellen incomplete dossiers,10910,2011.11.28 15:50:40,5000,2011.11.28 15:50:52,0
13,W-Valideren aanvraag,10138,2011.11.29 09:20:19,5000,2011.11.29 09:27:42,7
13,W-Nabellen incomplete dossiers,11121,2011.11.29 10:00:00,5000,2011.11.29 10:02:11,2
13,W-Nabellen incomplete dossiers,11121,2011.11.29 10:53:20,5000,2011.11.29 10:53:22,0
13,W-Nabellen incomplete dossiers,11121,2011.11.29 10:53:36,5000,2011.11.29 10:56:58,3
13,W-Nabellen incomplete dossiers,11049,2011.12.01 13:11:30,5000,2011.12.01 13:12:05,0
13,W-Nabellen incomplete dossiers,11121,2011.12.06 12:46:57,5000,2011.12.06 12:47:17,0
13,W-Nabellen incomplete dossiers,11189,2011.12.07 14:45:39,5000,2011.12.07 14:49:14,3
13,W-Nabellen incomplete dossiers,10931,2011.12.07 15:07:46,5000,2011.12.07 15:08:58,1
14,W-Afhandelen leads,11122,2011.11.16 19:41:25,35000,2011.11.16 19:42:03,0
16,W-Afhandelen leads,11119,2011.11.16 20:49:19,14042,2011.11.16 20:53:15,3
16,W-Afhandelen leads,11119,2011.11.16 20:54:01,14042,2011.11.16 20:54:57,0
16,W-Completeren aanvraag,no resuource,2011.11.17 09:34:44,14042,2011.11.17 09:41:50,7
16,W-Completeren aanvraag,11180,2011.11.17 17:36:31,14042,2011.11.17 17:42:01,5
