,org:group,resource country,organization country,org:resource,organization involved,org:role,concept:name,impact,product,lifecycle:transition,time:timestamp,case:concept:name
0,Org line C,Sweden,in,Mathieu,G120 3rd,C_5,Accepted,Major,PROD604,In Progress,2011-04-12 23:08:38+00:00,1-516141293
1,Org line C,Sweden,in,Mathieu,G120 3rd,C_5,Queued,Major,PROD604,Awaiting Assignment,2011-04-12 23:10:31+00:00,1-516141293
2,Org line C,INDIA,in,Pranesh,G181 2nd,E_8,Queued,Major,PROD604,Awaiting Assignment,2011-04-15 16:44:49+00:00,1-516141293
3,Org line C,Sweden,in,Stefan,G163 3rd,,Queued,Major,PROD604,Awaiting Assignment,2011-07-06 14:43:11+00:00,1-516141293
4,Org line C,INDIA,in,Santosh,G181 2nd,E_8,Accepted,Major,PROD604,In Progress,2011-07-06 14:43:12+00:00,1-516141293
5,Org line C,INDIA,in,Pranesh,G181 2nd,E_8,Accepted,Major,PROD604,In Progress,2011-07-06 14:55:39+00:00,1-516141293
6,Org line C,INDIA,in,Santosh,G181 2nd,E_8,Accepted,Major,PROD604,In Progress,2011-07-06 14:55:50+00:00,1-516141293
7,Org line C,INDIA,in,Rajesh Kumar,G157 2nd,E_7,Queued,Major,PROD604,Awaiting Assignment,2011-07-06 15:01:51+00:00,1-516141293
8,Org line C,INDIA,in,Rajesh Kumar,G157 2nd,E_7,Accepted,Major,PROD604,In Progress,2011-08-11 08:40:13+00:00,1-516141293
9,Org line C,Sweden,in,Andres,G157 2nd,E_7,Accepted,Major,PROD604,Assigned,2011-08-11 09:15:33+00:00,1-516141293
10,Org line C,INDIA,in,Rajesh Kumar,G157 2nd,E_7,Accepted,Major,PROD604,In Progress,2012-01-11 07:12:14+00:00,1-516141293
11,Org line C,Sweden,in,Andres,G157 2nd,E_7,Accepted,Major,PROD604,Assigned,2012-03-14 05:21:35+00:00,1-516141293
12,Org line C,INDIA,in,Rajesh Kumar,G157 2nd,E_7,Accepted,Major,PROD604,In Progress,2012-03-16 14:45:10+00:00,1-516141293
13,Org line C,INDIA,in,Rajesh Kumar,G157 2nd,E_7,Completed,Major,PROD604,Closed,2012-03-16 14:47:56+00:00,1-516141293
