,org:group,concept:instance,org:resource,concept:name,time:timestamp,lifecycle:transition,case:startdate,case:responsible,case:enddate_planned,case:department,case:group,case:concept:name,case:deadline,case:channel,case:enddate
0,EMPTY,task-7909,Resource18,Confirmation of receipt,2011-01-14 15:03:09.840000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
1,Group 1,task-8452,Resource18,T06 Determine necessity of stop advice,2011-01-17 08:06:42.726000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
2,Group 1,task-8480,Resource18,T10 Determine necessity to stop indication,2011-01-17 08:09:14.670000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
3,EMPTY,task-8451,Resource24,T02 Check confirmation of receipt,2011-01-17 12:47:49.460000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
4,Group 1,task-8634,Resource18,T03 Adjust confirmation of receipt,2011-01-20 12:39:54.930000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
5,Group 4,task-9078,Resource18,T02 Check confirmation of receipt,2011-01-20 12:40:10.916000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
6,Group 3,task-9079,Resource18,T04 Determine confirmation of receipt,2011-01-20 12:41:34.147000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
7,Group 2,task-9080,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:04:54.827000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
8,Group 1,task-8466,admin2,Confirmation of receipt,2011-01-15 12:42:05.411000+00:00,complete,2011-01-14 23:00:00.010000+00:00,admin3,2011-03-11 23:00:00.010000+00:00,Customer contact,,case-5337,2011-03-11 23:00:00+00:00,Internet,2011-01-15 12:42:03.349000+00:00
9,EMPTY,task-6017,admin2,Confirmation of receipt,2011-01-19 09:10:46.594000+00:00,complete,2010-12-13 23:00:00.010000+00:00,Resource26,2011-02-15 23:00:00.010000+00:00,General,,case-5002,2011-02-15 23:00:00+00:00,Internet,2011-01-19 09:10:45.508000+00:00
10,Group 1,task-7953,admin2,Confirmation of receipt,2011-01-19 09:11:57.658000+00:00,complete,2010-12-22 23:00:00.010000+00:00,Resource26,2011-02-14 23:00:00.010000+00:00,General,,case-5285,2011-02-14 23:00:00+00:00,Internet,2011-01-19 09:11:56.843000+00:00
11,EMPTY,task-1480,admin2,Confirmation of receipt,2011-01-19 09:12:28.533000+00:00,complete,2010-11-09 23:00:00.010000+00:00,Resource26,2011-01-09 23:00:00.010000+00:00,General,,case-4350,2011-01-09 23:00:00+00:00,Internet,2011-01-19 09:12:27.752000+00:00
12,EMPTY,task-2671,admin2,Confirmation of receipt,2011-01-19 09:13:09.527000+00:00,complete,2010-10-11 23:06:40.020000+00:00,Resource26,2010-12-07 00:06:40.010000+00:00,General,,case-4633,2010-12-07 00:06:40+00:00,Internet,2011-01-19 09:13:08.646000+00:00
13,EMPTY,task-6701,admin2,Confirmation of receipt,2011-01-26 07:24:39.677000+00:00,complete,2010-12-22 23:00:00.010000+00:00,Resource07,2011-02-16 23:00:00.010000+00:00,General,,case-5116,2011-02-16 23:00:00+00:00,Post,2011-01-26 07:24:35.551000+00:00
14,EMPTY,task-8890,admin2,Confirmation of receipt,2011-01-26 13:03:17.013000+00:00,complete,2010-12-30 00:06:40.010000+00:00,Resource03,2011-02-24 00:06:40.010000+00:00,Customer contact,,case-5385,2011-02-24 00:06:40+00:00,Desk,2011-01-26 13:03:16.115000+00:00
15,EMPTY,task-9528,admin2,Confirmation of receipt,2011-01-28 13:59:55.010000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource18,2011-02-09 23:00:00.010000+00:00,General,,case-5482,2011-02-09 23:00:00+00:00,Desk,2011-01-28 13:59:54.161000+00:00
16,EMPTY,task-9549,admin2,Confirmation of receipt,2011-01-28 14:00:50.404000+00:00,complete,2010-12-17 00:06:40.010000+00:00,Resource18,2011-02-11 00:06:40.010000+00:00,General,,case-5483,2011-02-11 00:06:40+00:00,Desk,2011-01-28 14:00:49.640000+00:00
17,EMPTY,task-9550,admin2,Confirmation of receipt,2011-01-28 14:46:54.296000+00:00,complete,2010-12-21 23:00:00.010000+00:00,Resource18,2011-02-15 23:00:00.010000+00:00,General,,case-5484,2011-02-15 23:00:00+00:00,Desk,2011-01-28 14:46:53.371000+00:00
18,EMPTY,task-7700,Resource09,Confirmation of receipt,2011-01-17 08:36:13.653000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
19,Group 1,task-8491,Resource09,T06 Determine necessity of stop advice,2011-01-17 08:41:11.425000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
20,Group 1,task-8498,Resource09,T10 Determine necessity to stop indication,2011-01-17 08:41:38.083000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
21,EMPTY,task-8490,Resource24,T02 Check confirmation of receipt,2011-01-17 11:38:43.397000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
22,Group 3,task-8604,Resource10,T04 Determine confirmation of receipt,2011-01-19 13:55:55.230000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
23,Group 2,task-8966,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:43:44.009000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
24,Group 1,task-8365,Resource09,Confirmation of receipt,2011-01-17 12:58:21.153000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
25,Group 1,task-8643,Resource09,T06 Determine necessity of stop advice,2011-01-17 12:59:31.321000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
26,Group 1,task-8648,Resource09,T10 Determine necessity to stop indication,2011-01-17 13:00:14.123000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
27,Group 4,task-8642,Resource10,T02 Check confirmation of receipt,2011-01-19 14:06:31.204000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
28,Group 3,task-8976,Resource10,T04 Determine confirmation of receipt,2011-01-19 14:09:37.013000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
29,Group 2,task-8989,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:29:18.142000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
30,EMPTY,task-7614,Resource17,Confirmation of receipt,2011-01-18 08:27:21.804000+00:00,complete,2010-10-19 23:06:40.020000+00:00,Resource17,2011-01-21 00:06:40.010000+00:00,General,,case-5245,2011-01-21 00:06:40+00:00,Internet,2011-01-21 15:00:15.194000+00:00
31,Group 1,task-8712,Resource17,T06 Determine necessity of stop advice,2011-01-18 08:27:38.295000+00:00,complete,2010-10-19 23:06:40.020000+00:00,Resource17,2011-01-21 00:06:40.010000+00:00,General,,case-5245,2011-01-21 00:06:40+00:00,Internet,2011-01-21 15:00:15.194000+00:00
32,Group 1,task-8713,Resource17,T10 Determine necessity to stop indication,2011-01-18 08:28:01.375000+00:00,complete,2010-10-19 23:06:40.020000+00:00,Resource17,2011-01-21 00:06:40.010000+00:00,General,,case-5245,2011-01-21 00:06:40+00:00,Internet,2011-01-21 15:00:15.194000+00:00
33,EMPTY,task-8711,Resource17,T02 Check confirmation of receipt,2011-01-18 08:39:19.245000+00:00,complete,2010-10-19 23:06:40.020000+00:00,Resource17,2011-01-21 00:06:40.010000+00:00,General,,case-5245,2011-01-21 00:06:40+00:00,Internet,2011-01-21 15:00:15.194000+00:00
34,EMPTY,task-8729,Resource17,T04 Determine confirmation of receipt,2011-01-18 08:40:52.540000+00:00,complete,2010-10-19 23:06:40.020000+00:00,Resource17,2011-01-21 00:06:40.010000+00:00,General,,case-5245,2011-01-21 00:06:40+00:00,Internet,2011-01-21 15:00:15.194000+00:00
35,EMPTY,task-8730,Resource17,T05 Print and send confirmation of receipt,2011-01-18 08:41:45.512000+00:00,complete,2010-10-19 23:06:40.020000+00:00,Resource17,2011-01-21 00:06:40.010000+00:00,General,,case-5245,2011-01-21 00:06:40+00:00,Internet,2011-01-21 15:00:15.194000+00:00
36,Group 1,task-9592,Resource11,Confirmation of receipt,2011-01-26 08:23:48.980000+00:00,complete,2011-01-16 23:00:00.010000+00:00,Resource11,2011-03-13 23:00:00.010000+00:00,General,,case-5504,2011-03-13 23:00:00+00:00,Internet,2011-02-04 11:16:16.911000+00:00
37,Group 1,task-9595,Resource11,T06 Determine necessity of stop advice,2011-01-26 08:24:08.406000+00:00,complete,2011-01-16 23:00:00.010000+00:00,Resource11,2011-03-13 23:00:00.010000+00:00,General,,case-5504,2011-03-13 23:00:00+00:00,Internet,2011-02-04 11:16:16.911000+00:00
38,Group 1,task-9596,Resource11,T10 Determine necessity to stop indication,2011-01-26 08:25:31.414000+00:00,complete,2011-01-16 23:00:00.010000+00:00,Resource11,2011-03-13 23:00:00.010000+00:00,General,,case-5504,2011-03-13 23:00:00+00:00,Internet,2011-02-04 11:16:16.911000+00:00
39,EMPTY,task-9594,Resource19,T02 Check confirmation of receipt,2011-01-26 12:09:30.634000+00:00,complete,2011-01-16 23:00:00.010000+00:00,Resource11,2011-03-13 23:00:00.010000+00:00,General,,case-5504,2011-03-13 23:00:00+00:00,Internet,2011-02-04 11:16:16.911000+00:00
40,Group 3,task-9662,Resource19,T04 Determine confirmation of receipt,2011-01-26 12:10:26.279000+00:00,complete,2011-01-16 23:00:00.010000+00:00,Resource11,2011-03-13 23:00:00.010000+00:00,General,,case-5504,2011-03-13 23:00:00+00:00,Internet,2011-02-04 11:16:16.911000+00:00
41,EMPTY,task-9663,Resource07,T05 Print and send confirmation of receipt,2011-01-27 08:23:52.738000+00:00,complete,2011-01-16 23:00:00.010000+00:00,Resource11,2011-03-13 23:00:00.010000+00:00,General,,case-5504,2011-03-13 23:00:00+00:00,Internet,2011-02-04 11:16:16.911000+00:00
42,EMPTY,task-9574,Resource11,Confirmation of receipt,2011-01-26 09:05:01.299000+00:00,complete,2011-01-13 00:06:40.010000+00:00,Resource11,2011-03-10 00:06:40.010000+00:00,General,,case-5503,2011-03-10 00:06:40+00:00,Intern,2011-02-04 15:05:09.655000+00:00
43,Group 1,task-9611,Resource11,T06 Determine necessity of stop advice,2011-01-26 09:05:50.741000+00:00,complete,2011-01-13 00:06:40.010000+00:00,Resource11,2011-03-10 00:06:40.010000+00:00,General,,case-5503,2011-03-10 00:06:40+00:00,Intern,2011-02-04 15:05:09.655000+00:00
44,Group 1,task-9612,Resource11,T10 Determine necessity to stop indication,2011-01-26 09:06:19.899000+00:00,complete,2011-01-13 00:06:40.010000+00:00,Resource11,2011-03-10 00:06:40.010000+00:00,General,,case-5503,2011-03-10 00:06:40+00:00,Intern,2011-02-04 15:05:09.655000+00:00
45,EMPTY,task-9610,Resource19,T02 Check confirmation of receipt,2011-01-26 12:17:25.720000+00:00,complete,2011-01-13 00:06:40.010000+00:00,Resource11,2011-03-10 00:06:40.010000+00:00,General,,case-5503,2011-03-10 00:06:40+00:00,Intern,2011-02-04 15:05:09.655000+00:00
46,Group 3,task-9668,Resource19,T04 Determine confirmation of receipt,2011-01-26 12:18:42.196000+00:00,complete,2011-01-13 00:06:40.010000+00:00,Resource11,2011-03-10 00:06:40.010000+00:00,General,,case-5503,2011-03-10 00:06:40+00:00,Intern,2011-02-04 15:05:09.655000+00:00
47,Group 2,task-9669,Resource07,T05 Print and send confirmation of receipt,2011-01-27 08:20:35.668000+00:00,complete,2011-01-13 00:06:40.010000+00:00,Resource11,2011-03-10 00:06:40.010000+00:00,General,,case-5503,2011-03-10 00:06:40+00:00,Intern,2011-02-04 15:05:09.655000+00:00
48,EMPTY,task-7233,Resource08,Confirmation of receipt,2011-01-17 08:36:33.985000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
49,EMPTY,task-8492,Resource08,T02 Check confirmation of receipt,2011-01-17 08:37:09.764000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
50,Group 3,task-8494,Resource08,T04 Determine confirmation of receipt,2011-01-17 08:37:39.327000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
51,EMPTY,task-8495,Resource08,T05 Print and send confirmation of receipt,2011-01-17 08:38:16.995000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
52,Group 1,task-8493,Resource08,T06 Determine necessity of stop advice,2011-01-17 08:38:26.926000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
53,Group 1,task-8496,Resource08,T10 Determine necessity to stop indication,2011-01-17 08:38:45.924000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
54,EMPTY,task-6774,Resource08,Confirmation of receipt,2011-01-18 07:12:04.353000+00:00,complete,2010-12-27 23:00:00.010000+00:00,Resource08,2011-02-21 23:00:00.010000+00:00,General,,case-5133,2011-02-21 23:00:00+00:00,Post,2011-02-18 13:46:47.461000+00:00
55,Group 4,task-8697,Resource08,T02 Check confirmation of receipt,2011-01-18 07:12:37.316000+00:00,complete,2010-12-27 23:00:00.010000+00:00,Resource08,2011-02-21 23:00:00.010000+00:00,General,,case-5133,2011-02-21 23:00:00+00:00,Post,2011-02-18 13:46:47.461000+00:00
