,concept:name,time:timestamp,concept:actor,concept:resource,case:concept:name
0,Activity A,2020-06-14 23:06:42.120000+00:00,Ryan,20,0
1,Activity C,2020-06-14 23:08:42.120000+00:00,Amy,20,0
2,Activity J,2020-06-14 23:09:42.120000+00:00,Ryan,50,0
3,Activity D,2020-06-14 23:10:42.120000+00:00,Kate,20,0
4,Activity S,2020-06-14 23:11:42.120000+00:00,Chris,60,0
5,Activity T,2020-06-14 23:12:42.120000+00:00,Larry,20,0
6,Activity U,2020-06-14 23:13:42.120000+00:00,Oscar,70,0
7,Activity V,2020-06-14 23:14:42.120000+00:00,Robert,60,0
8,Activity B,2020-06-14 23:16:42.120000+00:00,Victoria,60,0
9,Activity A,2020-06-16 00:09:06.312000+00:00,Amy,10,30
10,Activity C,2020-06-16 00:11:06.312000+00:00,Naomi,20,30
11,Activity J,2020-06-16 00:12:06.312000+00:00,Cameron,50,30
12,Activity D,2020-06-16 00:13:06.312000+00:00,Kate,70,30
13,Activity S,2020-06-16 00:14:06.312000+00:00,Fred,90,30
14,Activity T,2020-06-16 00:15:06.312000+00:00,Larry,20,30
15,Activity U,2020-06-16 00:16:06.312000+00:00,Oscar,20,30
16,Activity V,2020-06-16 00:17:06.312000+00:00,Walter,90,30
17,Activity B,2020-06-16 00:19:06.312000+00:00,Brian,30,30
18,Activity A,2020-06-16 04:34:05.897000+00:00,Gisele,20,39
19,Activity C,2020-06-16 04:36:05.897000+00:00,Kevin,20,39
20,Activity J,2020-06-16 04:37:05.897000+00:00,Rachel,50,39
21,Activity D,2020-06-16 04:38:05.897000+00:00,Kate,60,39
22,Activity S,2020-06-16 04:39:05.897000+00:00,Fadi,60,39
23,Activity T,2020-06-16 04:40:05.897000+00:00,Bruce,20,39
24,Activity U,2020-06-16 04:41:05.897000+00:00,Oscar,60,39
25,Activity V,2020-06-16 04:42:05.897000+00:00,Walter,60,39
26,Activity B,2020-06-16 04:44:05.897000+00:00,Brian,60,39
27,Activity A,2020-06-16 05:42:58.341000+00:00,Thomas,10,43
28,Activity C,2020-06-16 05:44:58.341000+00:00,Amy,20,43
29,Activity J,2020-06-16 05:45:58.341000+00:00,Rachel,20,43
30,Activity D,2020-06-16 05:46:58.341000+00:00,Kate,70,43
31,Activity S,2020-06-16 05:47:58.341000+00:00,Robert,60,43
32,Activity T,2020-06-16 05:48:58.341000+00:00,Bruce,20,43
33,Activity U,2020-06-16 05:49:58.341000+00:00,Owen,60,43
34,Activity V,2020-06-16 05:50:58.341000+00:00,Laura,10,43
35,Activity B,2020-06-16 05:52:58.341000+00:00,Victoria,60,43
36,Activity A,2020-06-16 11:42:45.172000+00:00,Gisele,10,58
37,Activity C,2020-06-16 11:44:45.172000+00:00,Dwight,20,58
38,Activity J,2020-06-16 11:45:45.172000+00:00,Kevin,20,58
39,Activity D,2020-06-16 11:46:45.172000+00:00,Kate,60,58
40,Activity S,2020-06-16 11:47:45.172000+00:00,Naomi,90,58
41,Activity T,2020-06-16 11:48:45.172000+00:00,Bruce,20,58
42,Activity U,2020-06-16 11:49:45.172000+00:00,Oscar,20,58
43,Activity V,2020-06-16 11:50:45.172000+00:00,Robert,60,58
44,Activity B,2020-06-16 11:52:45.172000+00:00,Walter,30,58
45,Activity A,2020-06-15 00:39:13.962000+00:00,Thomas,20,1
46,Activity S,2020-06-15 00:41:13.962000+00:00,Naomi,60,1
47,Activity T,2020-06-15 00:42:13.962000+00:00,Bruce,20,1
48,Activity U,2020-06-15 00:43:13.962000+00:00,Owen,20,1
49,Activity S,2020-06-15 00:44:13.962000+00:00,Naomi,60,1
50,Activity T,2020-06-15 00:45:13.962000+00:00,Bruce,20,1
51,Activity U,2020-06-15 00:46:13.962000+00:00,Owen,20,1
52,Activity V,2020-06-15 00:47:13.962000+00:00,Walter,40,1
53,Activity C,2020-06-15 00:49:13.962000+00:00,Amy,20,1
54,Activity J,2020-06-15 00:50:13.962000+00:00,Cameron,50,1
55,Activity D,2020-06-15 00:51:13.962000+00:00,Kate,60,1
56,Activity B,2020-06-15 00:52:13.962000+00:00,Fred,60,1
57,Activity A,2020-06-15 01:20:44.312000+00:00,Amy,20,2
58,Activity C,2020-06-15 01:22:44.312000+00:00,Dwight,20,2
59,Activity K,2020-06-15 01:23:44.312000+00:00,Fred,90,2
60,Activity S,2020-06-15 01:24:44.312000+00:00,Chris,20,2
61,Activity L,2020-06-15 01:25:44.312000+00:00,Bruce,80,2
62,Activity T,2020-06-15 01:26:44.312000+00:00,Larry,20,2
63,Activity U,2020-06-15 01:27:44.312000+00:00,Oscar,70,2
64,Activity D,2020-06-15 01:28:44.312000+00:00,Kate,60,2
