,concept:name,time:timestamp,case:concept:name
0,A,2019-01-10 08:00:00+00:00,0
1,D,2019-01-10 08:34:20.039000+00:00,0
2,F,2019-01-10 08:58:00.648000+00:00,0
3,E,2019-01-10 09:23:31.774000+00:00,0
4,G,2019-01-10 09:53:47.392000+00:00,0
5,H,2019-01-10 10:22:33.205000+00:00,0
6,A,2019-01-10 08:20:00+00:00,1
7,B,2019-01-10 08:47:04.440000+00:00,1
8,C,2019-01-10 09:19:50.836000+00:00,1
9,A,2019-01-10 09:50:50.483000+00:00,1
10,B,2019-01-10 10:21:34.013000+00:00,1
11,C,2019-01-10 10:51:49.882000+00:00,1
12,A,2019-01-10 11:22:52.248000+00:00,1
13,B,2019-01-10 11:52:49.875000+00:00,1
14,C,2019-01-10 12:19:19.281000+00:00,1
15,A,2019-01-10 12:54:33.751000+00:00,1
16,B,2019-01-10 13:23:29.645000+00:00,1
17,C,2019-01-10 13:48:03.070000+00:00,1
18,A,2019-01-10 14:20:58.347000+00:00,1
19,D,2019-01-10 14:54:09.325000+00:00,1
20,F,2019-01-10 15:24:22.976000+00:00,1
21,E,2019-01-10 15:48:18.675000+00:00,1
22,G,2019-01-10 16:19:26.500000+00:00,1
23,H,2019-01-10 16:46:18.476000+00:00,1
24,A,2019-01-10 08:40:00+00:00,2
25,B,2019-01-10 09:13:53.243000+00:00,2
26,C,2019-01-10 09:41:32.260000+00:00,2
27,A,2019-01-10 10:07:14.733000+00:00,2
28,D,2019-01-10 10:35:45.966000+00:00,2
29,F,2019-01-10 11:10:13.530000+00:00,2
30,E,2019-01-10 11:41:49.118000+00:00,2
31,G,2019-01-10 12:08:30.863000+00:00,2
32,I,2019-01-10 12:35:42.918000+00:00,2
33,J,2019-01-10 13:08:18.412000+00:00,2
34,L,2019-01-10 13:39:45.605000+00:00,2
35,M,2019-01-10 14:09:25.712000+00:00,2
36,N,2019-01-10 14:39:55.228000+00:00,2
37,A,2019-01-10 09:00:00+00:00,3
38,B,2019-01-10 09:31:55.858000+00:00,3
39,C,2019-01-10 10:05:08.268000+00:00,3
40,A,2019-01-10 10:35:39.982000+00:00,3
41,B,2019-01-10 11:03:32.783000+00:00,3
42,C,2019-01-10 11:37:00.355000+00:00,3
43,A,2019-01-10 12:02:46.156000+00:00,3
44,D,2019-01-10 12:37:43.926000+00:00,3
45,F,2019-01-10 13:05:34.567000+00:00,3
46,E,2019-01-10 13:38:31.525000+00:00,3
47,G,2019-01-10 14:08:58.183000+00:00,3
48,H,2019-01-10 14:37:08.543000+00:00,3
49,A,2019-01-10 09:20:00+00:00,4
50,D,2019-01-10 09:52:36.415000+00:00,4
51,F,2019-01-10 10:25:34.958000+00:00,4
52,E,2019-01-10 10:56:59.889000+00:00,4
53,G,2019-01-10 11:28:28.219000+00:00,4
54,I,2019-01-10 11:59:00.461000+00:00,4
55,J,2019-01-10 12:28:18.055000+00:00,4
56,K,2019-01-10 12:58:24.670000+00:00,4
57,M,2019-01-10 13:30:01.066000+00:00,4
58,O,2019-01-10 13:54:34.447000+00:00,4
59,A,2019-01-10 09:40:00+00:00,5
60,B,2019-01-10 10:05:45.030000+00:00,5
61,C,2019-01-10 10:32:29.444000+00:00,5
62,A,2019-01-10 10:58:40.340000+00:00,5
63,D,2019-01-10 11:31:32.065000+00:00,5
64,F,2019-01-10 12:03:26.997000+00:00,5
65,E,2019-01-10 12:33:46.350000+00:00,5
66,G,2019-01-10 13:04:27.872000+00:00,5
67,H,2019-01-10 13:35:31.483000+00:00,5
68,A,2019-01-10 10:00:00+00:00,6
69,D,2019-01-10 10:28:38.636000+00:00,6
70,F,2019-01-10 10:58:16.040000+00:00,6
71,E,2019-01-10 11:28:45.569000+00:00,6
72,G,2019-01-10 11:58:36.250000+00:00,6
73,I,2019-01-10 12:34:42.266000+00:00,6
74,J,2019-01-10 13:08:33.783000+00:00,6
